economy,Country,IT.NET.USER.ZS,NY.GDP.PCAP.PP.KD,SP.POP.TOTL
ZWE,Zimbabwe,16.36473996,3703.8972364708,13586710.0
ZMB,Zambia,6.5,3450.03760014955,15399793.0
YEM,"Yemen, Rep.",22.55,,25823488.0
PSE,West Bank and Gaza,53.67,5967.07343700875,4173398.0
VIR,Virgin Islands (U.S.),50.07,,107882.0
VNM,Vietnam,41.0,7601.8584909713,91713850.0
VEN,"Venezuela, RB",57.0,,30042973.0
VUT,Vanuatu,18.8,2984.24348488791,263888.0
UZB,Uzbekistan,35.5,6075.19222412828,30757700.0
URY,Uruguay,61.46,22419.043746431,3400439.0
USA,United States,73.0,57300.6071553,318386329.0
GBR,United Kingdom,91.61,44239.151059642,64602298.0
ARE,United Arab Emirates,90.4,62452.1845077905,9214182.0
UKR,Ukraine,46.23597546,12385.8134765625,45272155.0
UGA,Uganda,5.4,2035.58424185734,36911530.0
TUV,Tuvalu,24.1,3497.52082167354,10973.0
TCA,Turks and Caicos Islands,,24392.0205723675,35371.0
TKM,Turkmenistan,12.2,12421.3697709052,5466324.0
TUR,Turkiye,51.04,24881.7277916793,77229262.0
TUN,Tunisia,46.16,11123.2018720555,11063195.0
TTO,Trinidad and Tobago,62.4,29864.026457115,1362337.0
TON,Tonga,35.95444145,5860.75391002298,101023.0
TGO,Togo,5.7,1863.28189428095,7137997.0
TLS,Timor-Leste,17.5,3266.73166592386,1174333.0
THA,Thailand,34.89,15854.1318583817,68438748.0
TZA,Tanzania,7.0,2284.96166992188,49960563.0
TJK,Tajikistan,17.49,2883.69790477191,8252828.0
SYR,Syrian Arab Republic,28.09,,18710711.0
CHE,Switzerland,87.4,67682.6861750714,8188649.0
SWE,Sweden,92.52,49258.9961639539,9696110.0
SUR,Suriname,40.08,20210.9962142167,553278.0
SDN,Sudan,,4654.06396484375,37977657.0
VCT,St. Vincent and the Grenadines,47.4,12144.1910069532,108868.0
MAF,St. Martin (French part),,,36018.0
LCA,St. Lucia,39.7,14317.3566637089,178307.0
KNA,St. Kitts and Nevis,68.0,26174.6148973124,50776.0
LKA,Sri Lanka,10.5,11428.1079039311,20778000.0
ESP,Spain,76.19,35968.6201369865,46480882.0
SSD,South Sudan,2.6,,10554882.0
ZAF,South Africa,49.0,14040.8259112381,54544184.0
SOM,Somalia,1.63,917.876549232689,13423571.0
SLB,Solomon Islands,9.0,2551.02850965045,587079.0
SVN,Slovenia,71.59,33093.750438441,2061980.0
SVK,Slovak Republic,79.98,27322.142385212,5418649.0
SXM,Sint Maarten (Dutch part),,42946.6851990023,37685.0
SGP,Singapore,82.1,87616.6375266979,5469724.0
SLE,Sierra Leone,6.057298984,1987.06878789606,7017153.0
SYC,Seychelles,51.25470199,25359.8464605743,91359.0
SRB,Serbia,62.07508046,15226.3264799527,7130576.0
SEN,Senegal,17.7,2868.31587705101,14174740.0
SAU,Saudi Arabia,64.71365737,48209.1275733208,30916603.0
STP,Sao Tome and Principe,24.41,3720.78678474604,195727.0
SMR,San Marino,,57328.077596989,32941.0
WSM,Samoa,21.2,5785.0959984336,192220.0
RWA,Rwanda,10.6,1780.14469866,11083629.0
RUS,Russian Federation,70.52,26057.15625,143819667.0
ROU,Romania,54.08,23084.359127492,19908979.0
QAT,Qatar,91.49,95578.2615108733,2459202.0
PRI,Puerto Rico,69.0,34070.262152425,3534874.0
PRT,Portugal,64.59,30444.6002091947,10401062.0
POL,Poland,66.6,26649.5781804896,38011735.0
PHL,Philippines,34.7,6973.6389092765,100513137.0
PER,Peru,40.2,11877.0789320691,30090372.0
PRY,Paraguay,43.0,11643.7275051513,6599524.0
PNG,Papua New Guinea,6.5,3908.86497234492,7946733.0
PAN,Panama,44.92,27352.5199130182,3901311.0
PLW,Palau,,17276.4978915309,17625.0
PAK,Pakistan,10.0,4695.58861377612,195305012.0
OMN,Oman,70.22,34875.7829672008,4027255.0
NOR,Norway,96.3,62390.1303126574,5137232.0
MNP,Northern Mariana Islands,,,55301.0
MKD,North Macedonia,68.06,14596.6001512258,2067471.0
NGA,Nigeria,21.0,5516.38559753258,176404931.0
NER,Niger,1.248675689,1126.80543972671,19240182.0
NIC,Nicaragua,17.6,5443.31160974918,6142734.0
NZL,New Zealand,84.0,40353.1060552186,4516500.0
NCL,New Caledonia,70.0,,268050.0
NLD,Netherlands,91.666666,52186.9973861206,16865008.0
NPL,Nepal,15.44,3217.44850970192,26905982.0
NRU,Nauru,,13174.3251473707,10289.0
NAM,Namibia,14.84,10413.3142223463,2273426.0
MMR,Myanmar,7.4,3574.03152121317,52280816.0
MOZ,Mozambique,6.0,1217.08886738517,26286192.0
MAR,Morocco,56.8,6911.80322265625,34192358.0
MNE,Montenegro,61.0,17674.6040816338,621810.0
MNG,Mongolia,19.94244743,10967.111749439,2940111.0
MCO,Monaco,92.4,,37320.0
MDA,Moldova,67.0,10314.4096405449,2856950.0
FSM,"Micronesia, Fed. Sts.",29.65,3339.79815713411,107444.0
MEX,Mexico,44.39,18887.5674432127,120355137.0
MUS,Mauritius,44.80327537,19240.2247080161,1260934.0
MRT,Mauritania,11.8,4908.10775244043,3930894.0
MHL,Marshall Islands,16.8,3544.77780638847,57183.0
MLT,Malta,73.17,37270.0755918779,434558.0
MLI,Mali,7.0,2075.40068139937,16934213.0
MDV,Maldives,49.28,17567.7239377428,435018.0
MYS,Malaysia,63.66542588,23906.2285804437,29866606.0
MWI,Malawi,5.83,1457.47302019577,16289550.0
MDG,Madagascar,3.7,1540.74496124676,23589897.0
MAC,"Macao SAR, China",69.78,155201.740570844,590210.0
LUX,Luxembourg,94.67,113313.578897944,556319.0
LTU,Lithuania,72.13,29855.8314910326,2932367.0
LIE,Liechtenstein,95.21,,37219.0
LBY,Libya,17.76,18756.9794345999,6362039.0
LBR,Liberia,5.41,1673.05586356408,4359508.0
LSO,Lesotho,22.0,2639.4458245507,2043448.0
LBN,Lebanon,73.0,16879.1811387438,6261046.0
LVA,Latvia,75.83,25423.6448831349,1993782.0
LAO,Lao PDR,14.26,6193.34032628045,6639763.0
KGZ,Kyrgyz Republic,28.3,4722.08600228701,5835500.0
KWT,Kuwait,78.7,56647.4374776489,3690939.0
XKX,Kosovo,,8796.62962012693,1812771.0
KOR,"Korea, Rep.",87.55682649,37967.475617995,50746659.0
PRK,"Korea, Dem. People's Rep.",,,25057793.0
KIR,Kiribati,12.25,1979.60755490915,109387.0
KEN,Kenya,16.5,3979.72465458541,46700063.0
KAZ,Kazakhstan,66.0,24355.7561188887,17288285.0
JOR,Jordan,46.2,10284.6700959691,8918822.0
JPN,Japan,89.10683302,39739.5411241697,127276000.0
JAM,Jamaica,40.4027351,9438.47691238925,2875137.0
ITA,Italy,55.63846022,39898.5264609826,60789140.0
ISR,Israel,75.01775316,37204.5026077648,8215700.0
IMN,Isle of Man,,,83488.0
IRL,Ireland,83.49172234,57668.7554653506,4657740.0
IRQ,Iraq,13.21,9818.65230841713,34411949.0
IRN,"Iran, Islamic Rep.",39.35,15006.9447720667,77465769.0
IDN,Indonesia,17.14,9801.16628336906,255128076.0
IND,India,13.5,5116.62910484768,1295600768.0
ISL,Iceland,98.16,50450.7416120996,327386.0
HUN,Hungary,75.65319745,26485.4128230327,9866468.0
HKG,"Hong Kong SAR, China",79.86627043,56358.0557188951,7229500.0
HND,Honduras,23.0,5177.41519718935,8955579.0
HTI,Haiti,11.4,3066.85041749736,10549007.0
GUY,Guyana,32.0,11244.3973933469,763371.0
GNB,Guinea-Bissau,3.32,1740.89673703744,1692433.0
GIN,Guinea,6.4,2061.6948377417,11150970.0
GTM,Guatemala,23.4,7939.37437823934,15306316.0
GUM,Guam,69.27,,161007.0
GRD,Grenada,51.6,14317.3257305619,108900.0
GRL,Greenland,66.7,,56295.0
GRC,Greece,63.21,28129.9613244489,10892413.0
GIB,Gibraltar,,,33726.0
GHA,Ghana,19.0,4794.14708368048,27224480.0
DEU,Germany,86.19,50845.5269954271,80982500.0
GEO,Georgia,44.0,12254.6456549529,3719414.0
GMB,"Gambia, The",15.56,2038.8025175488,2024037.0
GAB,Gabon,38.07120929,15437.2650293528,1883801.0
PYF,French Polynesia,60.68,,271713.0
FRA,France,83.75,43021.3946358903,66312067.0
FIN,Finland,86.53039275,44976.7764487708,5461512.0
FJI,Fiji,37.4,12058.0061864871,866447.0
FRO,Faroe Islands,93.3,,47965.0
ETH,Ethiopia,7.7,1656.63448899243,98094264.0
SWZ,Eswatini,25.0,8193.67285336229,1095022.0
EST,Estonia,84.24152803,30494.0963031973,1314545.0
ERI,Eritrea,0.99,,
GNQ,Equatorial Guinea,18.86,32436.5535005511,1122273.0
SLV,El Salvador,24.76171215,7990.44167842694,6295124.0
EGY,"Egypt, Arab Rep.",33.89460391,10353.6668042394,90424668.0
ECU,Ecuador,45.59039067,12078.4743866036,15951832.0
DOM,Dominican Republic,49.58,14499.6304101602,10165182.0
DMA,Dominica,57.5,12213.5583671093,71091.0
DJI,Djibouti,17.0,4241.88117846309,898707.0
DNK,Denmark,95.99,52048.3354927846,5643475.0
CZE,Czech Republic,74.23171164,34386.7049143977,10525347.0
CYP,Cyprus,69.33,33136.48046875,1152297.0
CUW,Curacao,,25869.7819000386,155909.0
CUB,Cuba,29.07018437,,11306909.0
HRV,Croatia,68.57,24072.4388046611,4238389.0
CIV,Cote d'Ivoire,10.0,4225.9557640316,22647672.0
CRI,Costa Rica,53.0,18669.096679367,4795390.0
COG,"Congo, Rep.",7.11,5552.84460629917,4736965.0
COD,"Congo, Dem. Rep.",3.0,1029.79081257806,73767445.0
COM,Comoros,6.98,2995.45979337771,759390.0
COL,Colombia,52.57,13852.2420491719,46967706.0
CHN,China,47.9,11851.4042175796,1371860000.0
CHL,Chile,61.11,24099.2702881884,17758969.0
CHI,Channel Islands,,,164107.0
TCD,Chad,2.9,1866.26607861774,13663562.0
CAF,Central African Republic,2.7,822.611194894812,4464171.0
CYM,Cayman Islands,74.1,66326.8867734227,60848.0
CAN,Canada,87.12,47564.609109622,35437435.0
CMR,Cameroon,16.21487223,3470.78565817389,22681853.0
KHM,Cambodia,14.0,3364.27806867045,15274506.0
CPV,Cabo Verde,40.26,6281.79397089329,518276.0
BDI,Burundi,1.4,886.2352957813,9844301.0
BFA,Burkina Faso,6.0,1907.94921260654,17586029.0
BGR,Bulgaria,55.49,19202.8089285445,7223938.0
BRN,Brunei Darussalam,68.77,64190.8241471541,409778.0
VGB,British Virgin Islands,,,28985.0
BRA,Brazil,54.55100188,15749.5121636814,202763744.0
BWA,Botswana,36.74474744,16042.0524931341,2088619.0
BIH,Bosnia and Herzegovina,49.91773243,12066.5923389441,3482106.0
BOL,Bolivia,34.6,7730.63840212872,10706517.0
BTN,Bhutan,30.3,9574.0290039124,719053.0
BMU,Bermuda,96.8,77361.1048812589,65138.0
BEN,Benin,6.0,2975.85478222107,10286839.0
BLZ,Belize,38.7,7239.27826944955,353366.0
BEL,Belgium,85.0,48748.6205926039,11209057.0
BLR,Belarus,59.02,19119.3461515636,9448515.0
BRB,Barbados,75.16,15043.7299095614,284825.0
BGD,Bangladesh,11.9,4157.91930405716,154517385.0
BHR,Bahrain,90.50313348,48201.1571717366,1336073.0
BHS,"Bahamas, The",76.92,35847.8560481642,370625.0
AZE,Azerbaijan,75.00001564,14867.9437345406,9535079.0
AUT,Austria,80.99582496,52932.9001116518,8546356.0
AUS,Australia,84.0,47232.875386831,23475686.0
ABW,Aruba,83.78,35405.0341285835,103776.0
ARM,Armenia,54.62280586,11019.838784895,2912403.0
ARG,Argentina,64.7,23550.0990599374,42669500.0
ATG,Antigua and Barbuda,67.78,18104.6837879971,92562.0
AGO,Angola,21.4,8240.34798147729,26941773.0
AND,Andorra,86.1,,79213.0
ASM,American Samoa,,,55791.0
DZA,Algeria,29.5,11512.6904717467,38923688.0
ALB,Albania,54.3,11586.8338781686,2889104.0
AFG,Afghanistan,7.0,2102.38460375974,33370804.0
